money,context
['three shillings'],"We had not missed much, for sandwich men have an unenviable job. They are paid about three shillings a day for ten hours' work--it is hard work, especially in windy weather, and there is no skulking, for an inspector comes round frequently to see that the men are on their beat. To add to their troubles, they are only engaged by the day, or sometimes for three days, never weekly, so that they have to wait hours for their job every morning."
['two pounds'],"It is curious how people take it for granted that they have a right to preach at you and pray over you as soon as your income falls below a certain level. After nine days B.'s two pounds was reduced to one and ninepence. Paddy and I set aside eighteenpence for our beds, and spent threepence on the usual tea-and-two-slices, which we shared--an appetizer rather than a meal."
['seven shillings'],"Paddy and I pooled our tickets, and received food which we could have got for sevenpence or eightpence at most coffee-shops. The clergyman had distributed well over a pound in tickets, so that the proprietor was evidently swindling the tramps to the tune of seven shillings or more a week. This kind of victimization is a regular part of a tramp's life, and it will go on as long as people continue to give meal tickets instead of money."
['a penny'],"At half-past ten Bozo arrived, tired out and haggard, for his mangled leg made walking an agony. He had not earned a penny at screeving, all the pitches under shelter being taken, and for several hours he had begged outright, with one eye on the policemen. He had amassed eightpence--a penny short of his kip."
['a penny'],"He had not earned a penny at screeving, all the pitches under shelter being taken, and for several hours he had begged outright, with one eye on the policemen. He had amassed eightpence--a penny short of his kip. It was long past the hour for paying, and he had only managed to slip indoors when the deputy was not looking; at any moment he might be caught and turned out, to sleep on the Embankment."
['half-penny'],"Bozo took the things out of his pockets and looked them over, debating what to sell. He decided on his razor, took it round the kitchen, and in a few minutes he had sold it for threepence--enough to pay his kip, buy a basin of tea, and leave a half-penny over. Bozo got his basin of tea and sat down by the fire to dry his clothes."
['a penny'],"Paddy browsed the pavement, laying up a store of cigarette ends against his time in the spike. In the end his perseverance was rewarded, for he picked up a penny. We bought a large piece of stale bread, and devoured it as we walked."
['thirty pounds'],"Paddy and Bozo used to tell a good story about this. An Irishman (Bozo said it was an Irishman; Paddy said an Englishman), not a tramp, and in possession of thirty pounds, was stranded in a small village where he could not get a bed. He consulted a tramp, who advised him to go to the workhouse."
['thirty pounds'],"The Irishman, however, thought he would be clever and get a bed for nothing, so he presented himself at the workhouse as an ordinary casual. He had sewn the thirty pounds into his clothes. Meanwhile the tramp who had advised him had seen his chance, and that night he privately asked the Tramp Major for permission to leave the spike early in the morning, as he had to see about a job."
['a shilling'],"We dispersed at ten in the morning, after a fresh medical inspection, with a hunk of bread and cheese for our midday dinner. William and Fred, strong in the possession of a shilling, impaled their bread on the spike railings--as a protest, they said. This was the second spike in Kent that they had made too hot to hold them, and they thought it a great joke."
['half crown'],"At this moment a pale watery stuff called beer is sevenpence a pint in England. To be drunk on it would cost at least half a crown, and a man who can command half a crown at all often is not a tramp. The idea that tramps are impudent social parasites ('sturdy beggars') is not absolutely unfounded, but it is only true in a few per cent of the cases."
['a few per cent'],"To be drunk on it would cost at least half a crown, and a man who can command half a crown at all often is not a tramp. The idea that tramps are impudent social parasites ('sturdy beggars') is not absolutely unfounded, but it is only true in a few per cent of the cases. Deliberate, cynical parasitism, such as one reads of in Jack London's books on American tramping, is not in the English character."
['seven-pence'],"At present it is impossible to get a _bed_ in any non-charitable institution in London for less than sevenpence a night. If you cannot afford seven-pence for a bed, you must put up with one of the following substitutes:  1. The Embankment."
['a penny'],"It is cold, and the worst thing about it are the bugs, which, being enclosed in a box, you cannot escape. Above this come the common lodging-houses, with charges varying between sevenpence and one and a penny a night. The best are the Rowton Houses, where the charge is a shilling, for which you get a cubicle to yourself, and the use of excellent bathrooms."
['a shilling'],"Above this come the common lodging-houses, with charges varying between sevenpence and one and a penny a night. The best are the Rowton Houses, where the charge is a shilling, for which you get a cubicle to yourself, and the use of excellent bathrooms. You can also pay half a crown for a 'special', which is practically hotel accommodation."
['half crown'],"The best are the Rowton Houses, where the charge is a shilling, for which you get a cubicle to yourself, and the use of excellent bathrooms. You can also pay half a crown for a 'special', which is practically hotel accommodation. The Rowton Houses are splendid buildings, and the only objection to them is the strict discipline, with rules against cooking, card-playing, etc."
"['one and a penny', 'a penny']","Perhaps the best advertisement for the Rowton Houses is the fact that they are always full to overflowing. The Bruce Houses, at one and a penny, are also excellent. Next best, in point of cleanliness, are the Salvation Army hostels, at sevenpence or eightpence."
['a shilling'],"They vary (I have been in one or two that were not very unlike common lodging-houses), but most of them are clean, and they have good bathrooms; you have to pay extra for a bath, however. You can get a cubicle for a shilling. In the eightpenny dormitories the beds are comfortable, but there are so many of them (as a rule at least forty to a room), and so close together, that it is impossible to get a quiet night."
['a shilling'],"Beyond this there are the ordinary common lodging-houses. Whether you pay sevenpence or a shilling, they are all stuffy and noisy, and the beds are uniformly dirty and uncomfortable. What redeems them are their _laissez-faire_ atmosphere and the warm home-like kitchens where one can lounge at all hours of the day or night."
['two pounds'],"At this moment at least fifteen thousand people in London are living in common lodging-houses. For an unattached man earning two pounds a week, or less, a lodging-house is a great convenience. He could hardly get a furnished room so cheaply, and the lodging-house gives him free firing, a bathroom of sorts, and plenty of society."
['ten pounds'],"Of course, the owners of lodging-houses would be opposed _en bloc_ to any improvement, for their present business is an immensely profitable one. The average house takes five or ten pounds a night, with no bad debts (credit being strictly forbidden), and except for rent the expenses are small. Any improvement would mean less crowding, and hence less profit."
['half crown'],"If the authorities are going to concern themselves with lodging-houses at all, they ought to start by making them more comfortable, not by silly restrictions that would never be tolerated in a hotel. XXXVIII    AFTER we left the spike at Lower Binfield, Paddy and I earned half a crown at weeding and sweeping in somebody's garden, stayed the night at Cromley, and walked back to London. I parted from Paddy a day or two later."
['two pounds'],"I parted from Paddy a day or two later. B. lent me a final two pounds, and, as I had only another eight days to hold out, that was the end of my troubles. My tame imbecile turned out worse than I had expected, but not bad enough to make me wish myself back in the spike or the Auberge de Jehan Cottard."
['a penny'],"Still I can point to one or two things I have definitely learned by being hard up. I shall never again think that all tramps are drunken scoundrels, nor expect a beggar to be grateful when I give him a penny, nor be surprised if men out of work lack energy, nor subscribe to the Salvation Army, nor pawn my clothes, nor refuse a handbill, nor enjoy a meal at a smart restaurant. That is a beginning."
